filename,year,topic,top_words
1894_Gautier-Judith_Memoires-d-un-Elephant-blanc.txt,1894,5,"éléphant, vieillard, montagne, troupe, peuple, compagne, vallée, sourd, prince, créature, palais, nourriture, bande, capitaine, orphelin, princesse, solitude, rivière, trompe, rocher"
1895_Mael-Pierre_Les-Derniers-Hommes-rouges.txt,1895,9,"colonel, baronne, navire, montagne, commandant, canot, officier, marin, bateau, île, matelot, fleuve, pont, région, vallée, côte, nord, colonne, équipage, sable"
1896_Gyp_Bijou.txt,1896,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
1896_Soboleska-Mme_Siribeddi-memoires-d-un-elephant.txt,1896,5,"éléphant, vieillard, montagne, troupe, peuple, compagne, vallée, sourd, prince, créature, palais, nourriture, bande, capitaine, orphelin, princesse, solitude, rivière, trompe, rocher"
1897_Gerald-Montmeril_Chryseis-au-desert.txt,1897,9,"colonel, baronne, navire, montagne, commandant, canot, officier, marin, bateau, île, matelot, fleuve, pont, région, vallée, côte, nord, colonne, équipage, sable"
1897_Mael-Pierre_Au-pays-du-mystere.txt,1897,9,"colonel, baronne, navire, montagne, commandant, canot, officier, marin, bateau, île, matelot, fleuve, pont, région, vallée, côte, nord, colonne, équipage, sable"
1899_Colomb-Josephine_Chloris-et-Jeanneton.txt,1899,3,"poupée, baron, princesse, baronne, moulin, bergère, mlle, jouet, tailleur, artiste, lune, prince, valet, soulier, fée, neige, portrait, fermier, meunier, marchand"
1900_Chabrier-Rieder-Charlotte_Les-epreuves-de-Charlotte.txt,1900,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
1901_Soboleska-Mme_Les-Bonnes-idees-de-Mlle-Rose_Les-Enfants-au-ballon-elastique.txt,1901,3,"poupée, baron, princesse, baronne, moulin, bergère, mlle, jouet, tailleur, artiste, lune, prince, valet, soulier, fée, neige, portrait, fermier, meunier, marchand"
1901_Mael-Pierre_Un-mousse-de-Surcouf.txt,1901,9,"colonel, baronne, navire, montagne, commandant, canot, officier, marin, bateau, île, matelot, fleuve, pont, région, vallée, côte, nord, colonne, équipage, sable"
1902_Laurie-Andre_Memoires-d-un-collegien-russe.txt,1902,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
1903_Chabrier-Rieder-Charlotte_Les-Enfants-du-Luxembourg.txt,1903,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
1905_Toulet-Paul-Jean_Mon-amie-Nane.txt,1905,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
1906_Morin-Louis_Grand-mere-avait-des-defauts-.txt,1906,5,"éléphant, vieillard, montagne, troupe, peuple, compagne, vallée, sourd, prince, créature, palais, nourriture, bande, capitaine, orphelin, princesse, solitude, rivière, trompe, rocher"
1907_Mael-Pierre_Le-Forban-noir.txt,1907,9,"colonel, baronne, navire, montagne, commandant, canot, officier, marin, bateau, île, matelot, fleuve, pont, région, vallée, côte, nord, colonne, équipage, sable"
1910_Cim-Albert_Le-petit-Leveille.txt,1910,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
